the,ðə
a,ə
of,əv
to,tu
and,ənd
in,ɪn
is,ɪz
was,wəz
on,ɒn
with,wɪð
it,ɪt
for,fər
he,hi
from,frəm
will,wɪl
are,ɑr
his,hɪz
we,wi
at,æt
were,wɜr
but,bʌt
into,ɪn tu
that,ðæt
your,yɔr
you,yu
they,ðeɪ
when,wɛn
this,ðɪs
by,baɪ
out,aʊt
than,ðən
be,bi
old,oʊld
there,ðɛər
high,haɪ
red,rɛd
these,ðiz
fine,faɪn
used,yuzd
small,smɔl
hot,hɒt
strong,strɒŋ
new,nyu
green,grin
she,ʃi
up,ʌp
wall,wɔl
as,æz
down,daʊn
round,raʊnd
makes,meɪks
hard,hɑrd
her,hɜr
young,yʌŋ
two,tu
before,bɪ fɔr
way,weɪ
water,wɔ tər
thin,θɪn
good,gʊd
blue,blu
take,teɪk
no,noʊ
sharp,ʃɑrp
kept,kɛpt
him,hɪm
both,boʊθ
side,saɪd
dull,dʌl
each,itʃ
most,moʊst
bright,braɪt
best,bɛst
last,læst
or,ɔr
gold,goʊld
box,bɒks
us,ʌs
large,lɑrdʒ
clear,klɪər
back,bæk
tea,ti
left,lɛft
wide,waɪd
road,roʊd
grass,græs
over,oʊ vər
write,raɪt
more,mɔr
men,mɛn
make,meɪk
brown,braʊn
its,ɪts
brass,bræs
top,tɒp
made,meɪd
man,mæn
all,ɔl
now,naʊ
paper,peɪ pər
night,naɪt
work,wɜrk
boy,bɔɪ
sun,sʌn
get,gɛt
girl,gɜrl
tall,tɔl
off,ɔf
hung,hʌŋ
early,ɜr li
ship,ʃɪp
third,θɜrd
fence,fɛns
once,wʌns
store,stɔr
air,ɛər
their,ðɛər
cut,kʌt
set,sɛt
floor,flɔr
see,si
along,ə lɔŋ
don't,doʊnt
three,θri
fire,faɪ
leaves,livz
wind,wɪnd
took,tʊk
have,hæv
white,waɪt
light,laɪt
had,hæd
like,laɪk
our,aʊ
horse,hɔrs
much,mʌtʃ
takes,teɪks
many,mɛn i
well,wɛl
days,deɪz
rare,rɛər
rose,roʊz
straight,streɪt
through,θru
pot,pɒt
lack,læk
broke,broʊk
came,keɪm
hole,hoʊl
coat,koʊt
cat,kæt
what,wɒt
show,ʃoʊ
next,nɛkst
lost,lɒst
first,fɜrst
ran,ræn
mark,mɑrk
those,ðoʊz
words,wɜrdz
around,ə raʊnd
worn,wɔrn
big,bɪg
case,keɪs
door,dɔr
tight,taɪt
deep,dip
ten,tɛn
add,æd
right,raɪt
less,lɛs
can,kæn
just,dʒʌst
desk,dɛsk
day,deɪ
not,nɒt
fell,fɛl
child,tʃaɪld
dog,dɒg
dry,draɪ
part,pɑrt
house,haʊs
do,du
black,blæk
time,taɪm
cold,koʊld
smell,smɛl
needs,nidz
pack,pæk
book,bʊk
sheet,ʃit
dark,dɑrk
tell,tɛl
corn,kɔrn
spring,sprɪŋ
help,hɛlp
soft,sɔft
salt,sɔlt
fish,fɪʃ
full,fʊl
same,seɪm
read,rid
home,hoʊm
lay,leɪ
stone,stoʊn
fast,fæst
start,stɑrt
saw,sɔ
moved,muvd
sweet,swit
struck,strʌk
edge,ɛdʒ
while,waɪl
ink,ɪŋk
town,taʊn
beat,bit
ring,rɪŋ
thick,θɪk
here,hɪər
street,strit
every,ɛv ri
who,hu
friends,frɛndz
ripe,raɪp
taste,teɪst
act,ækt
great,greɪt
under,ʌn dər
ice,aɪs
low,loʊ
could,kʊd
bring,brɪŋ
clothes,kloʊðz
bad,bæd
stood,stʊd
chair,tʃɛər
wood,wʊd
paint,peɪnt
sound,saʊnd
cloth,klɔθ
should,ʃʊd
fun,fʌn
serve,sɜrv
fly,flaɪ
clean,klin
bank,bæŋk
some,sʌm
form,fɔrm
corner,kɔr nər
dust,dʌst
end,ɛnd
slide,slaɪd
needed,ni dɪd
better,bɛt ər
come,kʌm
little,lɪt l
sentences,sɛn təns ɪz
hold,hoʊld
between,bɪ twin
often,ɒf ən
served,sɜrvd
beside,bɪ saɪd
steady,stɛd i
size,saɪz
catch,kætʃ
pink,pɪŋk
feet,fit
flame,fleɪm
heat,hit
fall,fɔl
breeze,briz
across,ə krɒs
swan,swɒn
far,fɑr
short,ʃɔrt
morning,mɔr nɪŋ
loud,laʊd
note,noʊt
gave,geɪv
bell,bɛl
joy,dʒɔɪ
torn,tɔrn
week,wik
square,skwɛər
seven,sɛv ən
failed,feɪld
mouse,maʊs
march,mɑrtʃ
cup,kʌp
near,nɪər
pencil,pɛn səl
clock,klɒk
drifts,drɪfts
china,tʃaɪ nə
