,syllable,frequency,n_phonemes,pattern,complex_const,diphthong,reduced_patterns,vowel,cons_pre_nucleus,cons_post_nucleus
0,ər,35,2,VC,False,False,VC,ə,,r
1,i,21,1,V,False,False,V,i,,
2,ə,21,1,V,False,False,V,ə,,
3,li,19,2,CV,False,False,CV,i,l,
4,ɪz,14,2,VC,False,False,VC,ɪ,,z
5,ɪŋ,14,2,VC,False,False,VC,ɪ,,ŋ
6,ti,12,2,CV,False,False,CV,i,t,
7,ən,12,2,VC,False,False,VC,ə,,n
8,əl,12,2,VC,False,False,VC,ə,,l
9,oʊ,9,2,VV,False,True,V,oʊ,,
10,rɪ,9,2,CV,False,False,CV,ɪ,r,
11,dɪ,9,2,CV,False,False,CV,ɪ,d,
12,tər,8,3,CVC,False,False,CVC,ə,t,r
13,ni,8,2,CV,False,False,CV,i,n,
14,ɪt,8,2,VC,False,False,VC,ɪ,,t
15,dər,7,3,CVC,False,False,CVC,ə,d,r
16,ərz,7,3,VCC,False,False,VC,ə,,rz
17,n,6,1,C,False,False,C,,,
18,bɪ,6,2,CV,False,False,CV,ɪ,b,
19,ərd,6,3,VCC,False,False,VC,ə,,rd
20,l,6,1,C,False,False,C,,,
21,ɪts,5,3,VCC,False,False,VC,ɪ,,ts
22,ɔl,5,2,VC,False,False,VC,ɔ,,l
23,ɪn,5,2,VC,False,False,VC,ɪ,,n
24,ɔr,5,2,VC,False,False,VC,ɔ,,r
25,hɑrd,5,4,CVCC,False,False,CVC,ɑ,h,rd
26,tu,5,2,CV,False,False,CV,u,t,
27,ki,5,2,CV,False,False,CV,i,k,
28,pleɪ,5,4,CCVV,False,True,CV,eɪ,pl,
29,deɪ,5,3,CVV,False,True,CV,eɪ,d,
30,si,5,2,CV,False,False,CV,i,s,
31,ɒn,5,2,VC,False,False,VC,ɒ,,n
32,di,5,2,CV,False,False,CV,i,d,
33,pɛn,5,3,CVC,False,False,CVC,ɛ,p,n
34,pəl,5,3,CVC,False,False,CVC,ə,p,l
35,ɪd,5,2,VC,False,False,VC,ɪ,,d
36,bəl,5,3,CVC,False,False,CVC,ə,b,l
37,ɪdʒ,4,3,VCC,False,False,VC,ɪ,,dʒ
38,ɪ,4,1,V,False,False,V,ɪ,,
39,paɪ,4,3,CVV,False,True,CV,aɪ,p,
40,lɪs,4,3,CVC,False,False,CVC,ɪ,l,s
41,aʊt,4,3,VVC,False,True,VC,aʊ,,t
42,baɪ,4,3,CVV,False,True,CV,aɪ,b,
43,ɪʃ,4,2,VC,False,False,VC,ɪ,,ʃ
44,soʊ,4,3,CVV,False,True,CV,oʊ,s,
45,fəl,4,3,CVC,False,False,CVC,ə,f,l
46,pɜr,4,3,CVC,False,False,CVC,ɜ,p,r
47,kɪŋ,4,3,CVC,False,False,CVC,ɪ,k,ŋ
48,weɪ,4,3,CVV,False,True,CV,eɪ,w,
49,taɪ,4,3,CVV,False,True,CV,aɪ,t,
50,hɪər,4,4,CVVC,False,True,CVC,ɪə,h,r
51,fɔr,4,3,CVC,False,False,CVC,ɔ,f,r
52,wʊd,4,3,CVC,False,False,CVC,ʊ,w,d
53,wɛər,4,4,CVVC,False,True,CVC,ɛə,w,r
54,fɑr,4,3,CVC,False,False,CVC,ɑ,f,r
55,ənd,3,3,VCC,False,False,VC,ə,,nd
56,neɪ,3,3,CVV,False,True,CV,eɪ,n,
57,fʊt,3,3,CVC,False,False,CVC,ʊ,f,t
58,wɒtʃ,3,4,CVCC,False,False,CVC,ɒ,w,tʃ
59,slaɪd,3,5,CCVVC,False,True,CVC,aɪ,sl,d
60,kɪt,3,3,CVC,False,False,CVC,ɪ,k,t
61,peɪ,3,3,CVV,False,True,CV,eɪ,p,
62,sʌn,3,3,CVC,False,False,CVC,ʌ,s,n
