,syllable,syll_count,n_phonemes,pattern,complex_const,diphthong,type,reduced_patterns,nucleus,cons_post_nucleus,final_s,final_t,rotar,plosive,fricative,nasal
0,ər,31,2,VC,False,False,VR,VC,ə,r,False,False,1,0,0,0
1,ə,21,1,V,False,False,V,V,ə,,False,False,0,0,0,0
2,i,21,1,V,False,False,V,V,i,,False,False,0,0,0,0
3,li,19,2,CV,False,False,LV,CV,i,,False,False,0,0,0,0
4,ɪz,14,2,VC,False,False,VF,VC,ɪ,z,True,False,0,0,1,0
5,ɪŋ,14,2,VC,False,False,VN,VC,ɪ,ŋ,False,False,0,0,0,1
6,ən,12,2,VC,False,False,VN,VC,ə,n,False,False,0,0,0,1
7,ti,12,2,CV,False,False,PV,CV,i,,False,False,0,1,0,0
8,ɪd,11,2,VC,False,False,VP,VC,ɪ,d,False,True,0,1,0,0
9,əl,10,2,VC,False,False,VL,VC,ə,l,False,False,0,0,0,0
10,ərd,10,3,VCC,True,False,VRP,VC,ə,rd,False,True,1,1,0,0
11,rɪ,9,2,CV,False,False,RV,CV,ɪ,,False,False,1,0,0,0
12,dɪ,9,2,CV,False,False,PV,CV,ɪ,,False,False,0,1,0,0
13,ni,8,2,CV,False,False,NV,CV,i,,False,False,0,0,0,1
14,oʊ,8,2,VV,False,True,VV,V,oʊ,,False,False,0,0,0,0
15,tər,8,3,CVC,False,False,PVR,CVC,ə,r,False,False,1,1,0,0
16,ərz,7,3,VCC,True,False,VRF,VC,ə,rz,True,False,1,0,1,0
17,dər,7,3,CVC,False,False,PVR,CVC,ə,r,False,False,1,1,0,0
18,ɪt,7,2,VC,False,False,VP,VC,ɪ,t,False,True,0,1,0,0
19,bɪ,6,2,CV,False,False,PV,CV,ɪ,,False,False,0,1,0,0
20,ɪts,6,3,VCC,True,False,VPF,VC,ɪ,ts,True,False,0,1,1,0
21,l,6,1,C,False,False,L,C,,,False,False,0,0,0,0
22,n,5,1,C,False,False,N,C,,,False,False,0,0,0,1
23,si,5,2,CV,False,False,FV,CV,i,,False,False,0,0,1,0
24,ɪn,5,2,VC,False,False,VN,VC,ɪ,n,False,False,0,0,0,1
25,ɒn,5,2,VC,False,False,VN,VC,ɒ,n,False,False,0,0,0,1
26,hɑrd,5,4,CVCC,True,False,FVRP,CVC,ɑ,rd,False,True,1,1,1,0
27,di,5,2,CV,False,False,PV,CV,i,,False,False,0,1,0,0
28,tu,5,2,CV,False,False,PV,CV,u,,False,False,0,1,0,0
29,deɪ,5,3,CVV,False,True,PVV,CV,eɪ,,False,False,0,1,0,0
30,pəl,5,3,CVC,False,False,PVL,CVC,ə,l,False,False,0,1,0,0
31,pɛn,5,3,CVC,False,False,PVN,CVC,ɛ,n,False,False,0,1,0,1
32,ɔl,5,2,VC,False,False,VL,VC,ɔ,l,False,False,0,0,0,0
33,ki,5,2,CV,False,False,PV,CV,i,,False,False,0,1,0,0
34,ɔr,5,2,VC,False,False,VR,VC,ɔ,r,False,False,1,0,0,0
35,wʊd,4,3,CVC,False,False,wVP,CVC,ʊ,d,False,True,0,1,0,0
36,baɪ,4,3,CVV,False,True,PVV,CV,aɪ,,False,False,0,1,0,0
37,fɔr,4,3,CVC,False,False,FVR,CVC,ɔ,r,False,False,1,0,1,0
38,kɪŋ,4,3,CVC,False,False,PVN,CVC,ɪ,ŋ,False,False,0,1,0,1
39,pɜr,4,3,CVC,False,False,PVR,CVC,ɜ,r,False,False,1,1,0,0
40,taɪ,4,3,CVV,False,True,PVV,CV,aɪ,,False,False,0,1,0,0
41,bəl,4,3,CVC,False,False,PVL,CVC,ə,l,False,False,0,1,0,0
42,lɪs,4,3,CVC,False,False,LVF,CVC,ɪ,s,True,False,0,0,1,0
43,aʊt,4,3,VVC,False,True,VVP,VC,aʊ,t,False,True,0,1,0,0
44,weɪ,4,3,CVV,False,True,wVV,CV,eɪ,,False,False,0,0,0,0
45,ɪdʒ,4,3,VCC,True,False,VPF,VC,ɪ,dʒ,False,False,0,1,1,0
46,hɪər,4,4,CVVC,False,True,FVVR,CVC,ɪə,r,False,False,1,0,1,0
47,fəl,4,3,CVC,False,False,FVL,CVC,ə,l,False,False,0,0,1,0
48,ɪ,4,1,V,False,False,V,V,ɪ,,False,False,0,0,0,0
49,ɪʃ,4,2,VC,False,False,VF,VC,ɪ,ʃ,False,False,0,0,1,0
50,soʊ,4,3,CVV,False,True,FVV,CV,oʊ,,False,False,0,0,1,0
51,pleɪ,4,4,CCVV,True,True,PLVV,CV,eɪ,,False,False,0,1,0,0
52,wɛər,4,4,CVVC,False,True,wVVR,CVC,ɛə,r,False,False,1,0,0,0
53,paɪ,4,3,CVV,False,True,PVV,CV,aɪ,,False,False,0,1,0,0
54,fɑr,4,3,CVC,False,False,FVR,CVC,ɑ,r,False,False,1,0,1,0
55,kɪt,3,3,CVC,False,False,PVP,CVC,ɪ,t,False,True,0,2,0,0
56,leɪ,3,3,CVV,False,True,LVV,CV,eɪ,,False,False,0,0,0,0
57,wik,3,3,CVC,False,False,wVP,CVC,i,k,False,False,0,1,0,0
58,meɪ,3,3,CVV,False,True,NVV,CV,eɪ,,False,False,0,0,0,1
59,wɔ,3,2,CV,False,False,wV,CV,ɔ,,False,False,0,0,0,0
60,steɪt,3,5,CCVVC,True,True,FPVVP,CVC,eɪ,t,False,True,0,2,1,0
61,neɪ,3,3,CVV,False,True,NVV,CV,eɪ,,False,False,0,0,0,1
62,ʌn,3,2,VC,False,False,VN,VC,ʌ,n,False,False,0,0,0,1
63,ʃɪp,3,3,CVC,False,False,FVP,CVC,ɪ,p,False,False,0,1,1,0
64,pɪk,3,3,CVC,False,False,PVP,CVC,ɪ,k,False,False,0,2,0,0
65,sʌm,3,3,CVC,False,False,FVN,CVC,ʌ,m,False,False,0,0,1,1
66,æd,3,2,VC,False,False,VP,VC,æ,d,False,True,0,1,0,0
67,pɑrt,3,4,CVCC,True,False,PVRP,CVC,ɑ,rt,False,True,1,2,0,0
68,roʊz,3,4,CVVC,False,True,RVVF,CVC,oʊ,z,True,False,1,0,1,0
69,vər,3,3,CVC,False,False,FVR,CVC,ə,r,False,False,1,0,1,0
70,peɪn,3,4,CVVC,False,True,PVVN,CVC,eɪ,n,False,False,0,1,0,1
71,lɪŋ,3,3,CVC,False,False,LVN,CVC,ɪ,ŋ,False,False,0,0,0,1
72,zi,3,2,CV,False,False,FV,CV,i,,False,False,0,0,1,0
73,stɔr,3,4,CCVC,True,False,FPVR,CVC,ɔ,r,False,False,1,1,1,0
74,fi,3,2,CV,False,False,FV,CV,i,,False,False,0,0,1,0
75,fɪn,3,3,CVC,False,False,FVN,CVC,ɪ,n,False,False,0,0,1,1
76,saɪd,3,4,CVVC,False,True,FVVP,CVC,aɪ,d,False,True,0,1,1,0
77,aɪ,3,2,VV,False,True,VV,V,aɪ,,False,False,0,0,0,0
78,hɜr,3,3,CVC,False,False,FVR,CVC,ɜ,r,False,False,1,0,1,0
79,ənt,3,3,VCC,True,False,VNP,VC,ə,nt,False,True,0,1,0,1
80,kɪts,3,4,CVCC,True,False,PVPF,CVC,ɪ,ts,True,False,0,2,1,0
81,səl,3,3,CVC,False,False,FVL,CVC,ə,l,False,False,0,0,1,0
82,mæt,3,3,CVC,False,False,NVP,CVC,æ,t,False,True,0,1,0,1
83,lɪt,3,3,CVC,False,False,LVP,CVC,ɪ,t,False,True,0,1,0,0
84,peɪ,3,3,CVV,False,True,PVV,CV,eɪ,,False,False,0,1,0,0
85,teɪ,3,3,CVV,False,True,PVV,CV,eɪ,,False,False,0,1,0,0
86,sɜr,3,3,CVC,False,False,FVR,CVC,ɜ,r,False,False,1,0,1,0
87,kɑr,3,3,CVC,False,False,PVR,CVC,ɑ,r,False,False,1,1,0,0
88,kʌm,3,3,CVC,False,False,PVN,CVC,ʌ,m,False,False,0,1,0,1
89,fʊt,3,3,CVC,False,False,FVP,CVC,ʊ,t,False,True,0,1,1,0
90,ənd,3,3,VCC,True,False,VNP,VC,ə,nd,False,True,0,1,0,1
91,əm,3,2,VC,False,False,VN,VC,ə,m,False,False,0,0,0,1
92,læn,3,3,CVC,False,False,LVN,CVC,æ,n,False,False,0,0,0,1
93,raɪ,2,3,CVV,False,True,RVV,CV,aɪ,,False,False,1,0,0,0
94,meɪd,2,4,CVVC,False,True,NVVP,CVC,eɪ,d,False,True,0,1,0,1
95,bʌt,2,3,CVC,False,False,PVP,CVC,ʌ,t,False,True,0,2,0,0
96,dip,2,3,CVC,False,False,PVP,CVC,i,p,False,False,0,2,0,0
97,kræk,2,4,CCVC,True,False,PRVP,CVC,æ,k,False,False,1,2,0,0
98,reɪz,2,4,CVVC,False,True,RVVF,CVC,eɪ,z,True,False,1,0,1,0
99,mæn,2,3,CVC,False,False,NVN,CVC,æ,n,False,False,0,0,0,2
100,mɔr,2,3,CVC,False,False,NVR,CVC,ɔ,r,False,False,1,0,0,1
101,lɛs,2,3,CVC,False,False,LVF,CVC,ɛ,s,True,False,0,0,1,0
102,praɪs,2,5,CCVVC,True,True,PRVVF,CVC,aɪ,s,True,False,1,1,1,0
103,fɪt,2,3,CVC,False,False,FVP,CVC,ɪ,t,False,True,0,1,1,0
104,ʌð,2,2,VC,False,False,VF,VC,ʌ,ð,False,False,0,0,1,0
105,sɪk,2,3,CVC,False,False,FVP,CVC,ɪ,k,False,False,0,1,1,0
106,greɪs,2,5,CCVVC,True,True,PRVVF,CVC,eɪ,s,True,False,1,1,1,0
107,nɪs,2,3,CVC,False,False,NVF,CVC,ɪ,s,True,False,0,0,1,1
108,ʃæl,2,3,CVC,False,False,FVL,CVC,æ,l,False,False,0,0,1,0
109,zɜrv,2,4,CVCC,True,False,FVRF,CVC,ɜ,rv,False,False,1,0,2,0
110,ɛn,2,2,VC,False,False,VN,VC,ɛ,n,False,False,0,0,0,1
111,frɔ,2,3,CCV,True,False,FRV,CV,ɔ,,False,False,1,0,1,0
112,ðɛər,2,4,CVVC,False,True,FVVR,CVC,ɛə,r,False,False,1,0,1,0
113,gɛt,2,3,CVC,False,False,PVP,CVC,ɛ,t,False,True,0,2,0,0
114,dərz,2,4,CVCC,True,False,PVRF,CVC,ə,rz,True,False,1,1,1,0
115,waɪ,2,3,CVV,False,True,wVV,CV,aɪ,,False,False,0,0,0,0
116,weɪt,2,4,CVVC,False,True,wVVP,CVC,eɪ,t,False,True,0,1,0,0
117,sti,2,3,CCV,True,False,FPV,CV,i,,False,False,0,1,1,0
118,graʊnd,2,6,CCVVCC,True,True,PRVVNP,CVC,aʊ,nd,False,True,1,2,0,1
119,sɒk,2,3,CVC,False,False,FVP,CVC,ɒ,k,False,False,0,1,1,0
